"Name","Company","First Name","Last Name","Email","Phone","Mobile","Website","Billing Street","Billing City","Billing Province","Billing Postal Code","Billing Country","Terms","Account No.","Print on Cheque As","Notes"
"Fournitures Tremblay du Nord inc.","Fournitures Tremblay du Nord inc.","Marie","Fortin","marie.fortin@fournitures-tremblay-du-nord-inc.example.com","(450) 555-0162","","https://www.fournitures-tremblay-du-nord-inc.example.com","2865 boulevard Industriel, bureau 296","Montréal","QC","J5K 0M5","Canada","Net 15","FOU-33474","Fournitures Tremblay du Nord inc.","Fournisseurs — jeu d'essai"
"Frontier Manufacturing Canada Inc.","Frontier Manufacturing Canada Inc.","Sarah","Bennett","sarah.bennett@frontier-manufacturing-canada-inc.example.com","(204) 555-0188","","https://www.frontier-manufacturing-canada-inc.example.com","3578 Foundry Road","Winnipeg","MB","R9S 2B4","Canada","Net 30","FRO-32665","Frontier Manufacturing Canada Inc.","Fournisseurs - test data"
"MacDonald Fasteners Holdings Ltd.","MacDonald Fasteners Holdings Ltd.","Brian","Smith","brian.smith@macdonald-fasteners-holdings-ltd.example.com","(403) 555-0142","","https://www.macdonald-fasteners-holdings-ltd.example.com","1014 Commerce Court, bureau 899","Edmonton","AB","T1R 4M0","Canada","2% 10 Net 30","MAC-21506","MacDonald Fasteners Holdings Ltd.","Fournisseurs - test data"
"Northgate Supply Co. Holdings Ltd.","Northgate Supply Co. Holdings Ltd.","Brian","Hughes","brian.hughes@northgate-supply-co-holdings-ltd.example.com","(825) 555-0175","(825) 555-0153","https://www.northgate-supply-co-holdings-ltd.example.com","3072 Industrial Drive","Calgary","AB","T7T 0T2","Canada","2% 10 Net 30","NOR-45213","Northgate Supply Co. Holdings Ltd.","Fournisseurs - test data"
"Bluewater Fasteners Ltd.","Bluewater Fasteners Ltd.","Karen","Patel","karen.patel@bluewater-fasteners-ltd.example.com","(867) 555-0163","","https://www.bluewater-fasteners-ltd.example.com","296 Commerce Court, bureau 667","Yellowknife","NT","X1R 7Z5","Canada","Due on receipt","BLU-70546","Bluewater Fasteners Ltd.","Fournisseurs - test data"
"MacDonald Adhesives Ltd.","MacDonald Adhesives Ltd.","Steven","Kowalski","steven.kowalski@macdonald-adhesives-ltd.example.com","(289) 555-0117","","https://www.macdonald-adhesives-ltd.example.com","823 Logistics Way","Mississauga","ON","L0Y 7R8","Canada","Due on receipt","MAC-83120","MacDonald Adhesives Ltd.","Fournisseurs - test data"
"Bennett Fasteners Holdings Ltd.","Bennett Fasteners Holdings Ltd.","Sarah","Singh","sarah.singh@bennett-fasteners-holdings-ltd.example.com","(343) 555-0193","","https://www.bennett-fasteners-holdings-ltd.example.com","2013 Dixie Road","Ottawa","ON","K1Z 5S9","Canada","Net 30","BEN-94916","Bennett Fasteners Holdings Ltd.","Fournisseurs - test data"
"Keystone Chemicals Corp.","Keystone Chemicals Corp.","Hannah","Campbell","hannah.campbell@keystone-chemicals-corp.example.com","(343) 555-0182","","https://www.keystone-chemicals-corp.example.com","4085 Commerce Court","Cornwall","ON","K4E 4S4","Canada","Net 30","KEY-89301","Keystone Chemicals Corp.","Fournisseurs - test data"
"Outillage Métalliques et Fils inc.","Outillage Métalliques et Fils inc.","Simon","Roy","simon.roy@outillage-metalliques-et-fils-inc.example.com","(514) 555-0163","","https://www.outillage-metalliques-et-fils-inc.example.com","3299 boulevard Dagenais","Longueuil","QC","J3C 2J9","Canada","Net 15","OUT-66410","Outillage Métalliques et Fils inc.","Fournisseurs — jeu d'essai"
"Reid Adhesives Canada Inc.","Reid Adhesives Canada Inc.","Sarah","Smith","sarah.smith@reid-adhesives-canada-inc.example.com","(226) 555-0109","(226) 555-0185","https://www.reid-adhesives-canada-inc.example.com","2361 Industrial Drive","Windsor","ON","N1Z 0Y2","Canada","Net 15","REI-10184","Reid Adhesives Canada Inc.","Fournisseurs - test data"
"Kowalski Fasteners Holdings Ltd.","Kowalski Fasteners Holdings Ltd.","Robert","Smith","robert.smith@kowalski-fasteners-holdings-ltd.example.com","(639) 555-0130","","https://www.kowalski-fasteners-holdings-ltd.example.com","657 Kennedy Road","Moose Jaw","SK","S2V 7Y2","Canada","Net 15","KOW-45970","Kowalski Fasteners Holdings Ltd.","Fournisseurs - test data"
"Crestline Hydraulics Corp.","Crestline Hydraulics Corp.","Michael","Brown","michael.brown@crestline-hydraulics-corp.example.com","(613) 555-0142","(613) 555-0179","https://www.crestline-hydraulics-corp.example.com","140 Enterprise Boulevard","Ottawa","ON","K9W 9G4","Canada","Net 30","CRE-02548","Crestline Hydraulics Corp.","Fournisseurs - test data"
"Crestline Wholesale Canada Inc.","Crestline Wholesale Canada Inc.","Daniel","Anderson","daniel.anderson@crestline-wholesale-canada-inc.example.com","(782) 555-0114","","https://www.crestline-wholesale-canada-inc.example.com","4716 Logistics Way","Halifax","NS","B0R 5G4","Canada","2% 10 Net 30","CRE-89095","Crestline Wholesale Canada Inc.","Fournisseurs - test data"
"Métaux Bergeron Canada inc.","Métaux Bergeron Canada inc.","Isabelle","Dubé","isabelle.dube@metaux-bergeron-canada-inc.example.com","(418) 555-0195","","https://www.metaux-bergeron-canada-inc.example.com","4077 boulevard Industriel","Québec","QC","G1P 7V2","Canada","2% 10 Net 30","MET-73844","Métaux Bergeron Canada inc.","Fournisseurs — jeu d'essai"
"Peintures Girard ltée","Peintures Girard ltée","Isabelle","Girard","isabelle.girard@peintures-girard-ltee.example.com","(873) 555-0173","(873) 555-0132","https://www.peintures-girard-ltee.example.com","2199 boulevard Hymus","Gatineau","QC","J4K 7A5","Canada","2% 10 Net 30","PEI-17199","Peintures Girard ltée","Fournisseurs — jeu d'essai"
"Crestline Manufacturing Inc.","Crestline Manufacturing Inc.","Brian","Campbell","brian.campbell@crestline-manufacturing-inc.example.com","(204) 555-0177","(204) 555-0119","https://www.crestline-manufacturing-inc.example.com","279 Logistics Way","Steinbach","MB","R7W 3V8","Canada","Due on receipt","CRE-74026","Crestline Manufacturing Inc.","Fournisseurs - test data"
"Métaux Tremblay Québec inc.","Métaux Tremblay Québec inc.","Denis","Bélanger","denis.belanger@metaux-tremblay-quebec-inc.example.com","(819) 555-0176","","https://www.metaux-tremblay-quebec-inc.example.com","3303 chemin du Tremblay","Sherbrooke","QC","J1B 2V7","Canada","2% 10 Net 30","MET-92574","Métaux Tremblay Québec inc.","Fournisseurs — jeu d'essai"
"Lubrifiants Chimiques enr.","Lubrifiants Chimiques enr.","Denis","Poirier","denis.poirier@lubrifiants-chimiques-enr.example.com","(819) 555-0158","","https://www.lubrifiants-chimiques-enr.example.com","3289 boulevard Dagenais, bureau 916","Saguenay","QC","G3L 2B0","Canada","2% 10 Net 30","LUB-78351","Lubrifiants Chimiques enr.","Fournisseurs — jeu d'essai"
"Câbles Forestiers et Fils inc.","Câbles Forestiers et Fils inc.","François","Poirier","francois.poirier@cables-forestiers-et-fils-inc.example.com","(514) 555-0106","","https://www.cables-forestiers-et-fils-inc.example.com","3929 rue de l'Industrie","Longueuil","QC","J2P 7H9","Canada","Net 15","CAB-41169","Câbles Forestiers et Fils inc.","Fournisseurs — jeu d'essai"
"Fonderie d'Emballage Québec inc.","Fonderie d'Emballage Québec inc.","Jean","Bouchard","jean.bouchard@fonderie-d-emballage-quebec-inc.example.com","(819) 555-0184","(819) 555-0125","https://www.fonderie-d-emballage-quebec-inc.example.com","2176 rue de l'Industrie","Québec","QC","G8P 1R8","Canada","Net 15","FON-54019","Fonderie d'Emballage Québec inc.","Fournisseurs — jeu d'essai"
"Atlantic Steel Ltd.","Atlantic Steel Ltd.","Amanda","Nguyen","amanda.nguyen@atlantic-steel-ltd.example.com","(519) 555-0111","(519) 555-0195","https://www.atlantic-steel-ltd.example.com","4155 Commerce Court, bureau 664","Windsor","ON","N7C 4J8","Canada","Net 30","ATL-77099","Atlantic Steel Ltd.","Fournisseurs - test data"
"Papeterie Alimentaires du Nord inc.","Papeterie Alimentaires du Nord inc.","Caroline","Gauthier","caroline.gauthier@papeterie-alimentaires-du-nord-inc.example.com","(438) 555-0151","","https://www.papeterie-alimentaires-du-nord-inc.example.com","1872 avenue Marien, bureau 768","Brossard","QC","H8J 4S0","Canada","Net 15","PAP-06267","Papeterie Alimentaires du Nord inc.","Fournisseurs — jeu d'essai"
"Patel Lumber & Sons Ltd.","Patel Lumber & Sons Ltd.","Jessica","Campbell","jessica.campbell@patel-lumber-sons-ltd.example.com","(289) 555-0138","","https://www.patel-lumber-sons-ltd.example.com","587 Airport Road","Mississauga","ON","L9S 1L2","Canada","Net 30","PAT-59911","Patel Lumber & Sons Ltd.","Fournisseurs - test data"
"Meridian Adhesives & Sons Ltd.","Meridian Adhesives & Sons Ltd.","Laura","Murray","laura.murray@meridian-adhesives-sons-ltd.example.com","(778) 555-0138","","https://www.meridian-adhesives-sons-ltd.example.com","3466 Commerce Court","Victoria","BC","V2W 3W3","Canada","Net 15","MER-11626","Meridian Adhesives & Sons Ltd.","Fournisseurs - test data"
"Manufacture Dubé Canada inc.","Manufacture Dubé Canada inc.","Catherine","Gagnon","catherine.gagnon@manufacture-dube-canada-inc.example.com","(873) 555-0134","","https://www.manufacture-dube-canada-inc.example.com","4403 rue de l'Industrie","Drummondville","QC","J4G 2L2","Canada","Net 30","MAN-55828","Manufacture Dubé Canada inc.","Fournisseurs — jeu d'essai"
"Ridgeway Steel & Sons Ltd.","Ridgeway Steel & Sons Ltd.","Kevin","Wilson","kevin.wilson@ridgeway-steel-sons-ltd.example.com","(249) 555-0102","(249) 555-0180","https://www.ridgeway-steel-sons-ltd.example.com","837 Kennedy Road, bureau 583","North Bay","ON","P2Y 6K5","Canada","2% 10 Net 30","RID-55634","Ridgeway Steel & Sons Ltd.","Fournisseurs - test data"
"Chen Chemicals & Sons Ltd.","Chen Chemicals & Sons Ltd.","Hannah","Fraser","hannah.fraser@chen-chemicals-sons-ltd.example.com","(519) 555-0148","(519) 555-0153","https://www.chen-chemicals-sons-ltd.example.com","879 Burnhamthorpe Road","Guelph","ON","N9M 4H7","Canada","Net 30","CHE-41334","Chen Chemicals & Sons Ltd.","Fournisseurs - test data"
"Crestline Industries Group Inc.","Crestline Industries Group Inc.","Sarah","Nguyen","sarah.nguyen@crestline-industries-group-inc.example.com","(780) 555-0138","(780) 555-0198","https://www.crestline-industries-group-inc.example.com","3682 Kennedy Road","Red Deer","AB","T7X 3G4","Canada","Net 30","CRE-79926","Crestline Industries Group Inc.","Fournisseurs - test data"
"Vanguard Abrasives Corp.","Vanguard Abrasives Corp.","Megan","Stewart","megan.stewart@vanguard-abrasives-corp.example.com","(587) 555-0147","","https://www.vanguard-abrasives-corp.example.com","2121 Commerce Court","Red Deer","AB","T6T 1X3","Canada","Net 15","VAN-52102","Vanguard Abrasives Corp.","Fournisseurs - test data"
"Distribution Fortin inc.","Distribution Fortin inc.","Jean","Roy","jean.roy@distribution-fortin-inc.example.com","(514) 555-0154","","https://www.distribution-fortin-inc.example.com","3331 avenue Marien, bureau 479","Brossard","QC","J7J 7B7","Canada","Net 15","DIS-90486","Distribution Fortin inc.","Fournisseurs — jeu d'essai"
"Outillage Chimiques Canada inc.","Outillage Chimiques Canada inc.","Sylvain","Cloutier","sylvain.cloutier@outillage-chimiques-canada-inc.example.com","(418) 555-0192","","https://www.outillage-chimiques-canada-inc.example.com","452 boulevard Industriel","Saguenay","QC","G4E 8E7","Canada","2% 10 Net 30","OUT-13411","Outillage Chimiques Canada inc.","Fournisseurs — jeu d'essai"
"Hughes Abrasives Holdings Ltd.","Hughes Abrasives Holdings Ltd.","Michael","Murray","michael.murray@hughes-abrasives-holdings-ltd.example.com","(905) 555-0106","","https://www.hughes-abrasives-holdings-ltd.example.com","3400 Airport Road","Brampton","ON","L2S 3L6","Canada","2% 10 Net 30","HUG-54311","Hughes Abrasives Holdings Ltd.","Fournisseurs - test data"
"Titan Chemicals Inc.","Titan Chemicals Inc.","Brian","Wilson","brian.wilson@titan-chemicals-inc.example.com","(709) 555-0147","","https://www.titan-chemicals-inc.example.com","2027 Industrial Drive, bureau 636","Corner Brook","NL","A3N 3B7","Canada","2% 10 Net 30","TIT-96715","Titan Chemicals Inc.","Fournisseurs - test data"
"Smith Fasteners Ltd.","Smith Fasteners Ltd.","Emily","Chen","emily.chen@smith-fasteners-ltd.example.com","(306) 555-0127","(306) 555-0107","https://www.smith-fasteners-ltd.example.com","3810 Industrial Drive","Regina","SK","S6B 3Z4","Canada","2% 10 Net 30","SMI-03798","Smith Fasteners Ltd.","Fournisseurs - test data"
"Dominion Abrasives Corp.","Dominion Abrasives Corp.","Jason","Campbell","jason.campbell@dominion-abrasives-corp.example.com","(548) 555-0105","(548) 555-0144","https://www.dominion-abrasives-corp.example.com","3376 Steeles Avenue East","Windsor","ON","N6B 3Z4","Canada","Net 30","DOM-06575","Dominion Abrasives Corp.","Fournisseurs - test data"
"Transport Alimentaires Canada inc.","Transport Alimentaires Canada inc.","Catherine","Gauthier","catherine.gauthier@transport-alimentaires-canada-inc.example.com","(819) 555-0103","(819) 555-0191","https://www.transport-alimentaires-canada-inc.example.com","3453 boulevard Industriel","Rouyn-Noranda","QC","J8W 7N4","Canada","Net 15","TRA-66898","Transport Alimentaires Canada inc.","Fournisseurs — jeu d'essai"
"Continental Abrasives Canada Inc.","Continental Abrasives Canada Inc.","Megan","Murray","megan.murray@continental-abrasives-canada-inc.example.com","(250) 555-0111","(250) 555-0187","https://www.continental-abrasives-canada-inc.example.com","4689 Industrial Drive","Surrey","BC","V6A 1A7","Canada","2% 10 Net 30","CON-02700","Continental Abrasives Canada Inc.","Fournisseurs - test data"
"Bennett Freight Holdings Ltd.","Bennett Freight Holdings Ltd.","Amanda","Anderson","amanda.anderson@bennett-freight-holdings-ltd.example.com","(306) 555-0149","","https://www.bennett-freight-holdings-ltd.example.com","4569 Airport Road, bureau 685","Prince Albert","SK","S5V 2B6","Canada","Net 30","BEN-12699","Bennett Freight Holdings Ltd.","Fournisseurs - test data"
"Grossiste Alimentaires du Nord inc.","Grossiste Alimentaires du Nord inc.","Josée","Dubé","josee.dube@grossiste-alimentaires-du-nord-inc.example.com","(506) 555-0102","","https://www.grossiste-alimentaires-du-nord-inc.example.com","913 boulevard Industriel","Dieppe","NB","E5P 9N5","Canada","2% 10 Net 30","GRO-60568","Grossiste Alimentaires du Nord inc.","Fournisseurs — jeu d'essai"
"Papeterie Forestiers ltée","Papeterie Forestiers ltée","Chantal","Cloutier","chantal.cloutier@papeterie-forestiers-ltee.example.com","(873) 555-0162","","https://www.papeterie-forestiers-ltee.example.com","1945 boulevard Hymus, bureau 924","Rouyn-Noranda","QC","J2G 5Z1","Canada","Due on receipt","PAP-50665","Papeterie Forestiers ltée","Fournisseurs — jeu d'essai"
"Transport Lavoie Canada inc.","Transport Lavoie Canada inc.","Caroline","Bélanger","caroline.belanger@transport-lavoie-canada-inc.example.com","(514) 555-0180","","https://www.transport-lavoie-canada-inc.example.com","2280 rue du Parc-Industriel","Montréal","QC","H7M 0B7","Canada","Net 15","TRA-90861","Transport Lavoie Canada inc.","Fournisseurs — jeu d'essai"
"Sterling Distributors Canada Inc.","Sterling Distributors Canada Inc.","Daniel","Hughes","daniel.hughes@sterling-distributors-canada-inc.example.com","(613) 555-0195","","https://www.sterling-distributors-canada-inc.example.com","529 Logistics Way","Cornwall","ON","K4H 8P9","Canada","Net 30","STE-77917","Sterling Distributors Canada Inc.","Fournisseurs - test data"
"Northgate Bearings Inc.","Northgate Bearings Inc.","Daniel","Thompson","daniel.thompson@northgate-bearings-inc.example.com","(905) 555-0141","(905) 555-0195","https://www.northgate-bearings-inc.example.com","3043 Enterprise Boulevard","Barrie","ON","L1S 2Y1","Canada","Net 15","NOR-56468","Northgate Bearings Inc.","Fournisseurs - test data"
"Wilson Distributors Corp.","Wilson Distributors Corp.","Jessica","Clarke","jessica.clarke@wilson-distributors-corp.example.com","(604) 555-0112","","https://www.wilson-distributors-corp.example.com","4416 Commerce Court","Vancouver","BC","V2W 0N4","Canada","Due on receipt","WIL-71213","Wilson Distributors Corp.","Fournisseurs - test data"
"Apex Steel & Sons Ltd.","Apex Steel & Sons Ltd.","Megan","Chen","megan.chen@apex-steel-sons-ltd.example.com","(639) 555-0118","(639) 555-0156","https://www.apex-steel-sons-ltd.example.com","2129 Foundry Road","Prince Albert","SK","S3G 3V7","Canada","Net 15","APE-78949","Apex Steel & Sons Ltd.","Fournisseurs - test data"
"Trans-Canada Lumber Ltd.","Trans-Canada Lumber Ltd.","Michael","Hughes","michael.hughes@trans-canada-lumber-ltd.example.com","(236) 555-0107","","https://www.trans-canada-lumber-ltd.example.com","2051 Enterprise Boulevard","Kelowna","BC","V3A 7J1","Canada","Net 30","TRA-87203","Trans-Canada Lumber Ltd.","Fournisseurs - test data"
